Comuna,Pacto,Partido,Tendencia,Independientes,Candidato,n_votos,perc_votos_comuna
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,NOLBERTO VALDES ACUÑA,1,5.97122E-05
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,PABLO CONTRERAS CORTINEZ,8,0.000477697
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,INDEPENDIENTE,Derecha3,,ENRIQUE ALFONSO GOMEZ HOFFER,40,0.002388487
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,IVAN CRUZ APABLAZA MENDEZ,2,0.000119424
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,JUAN RAMON VILLEGAS SALDAÑA,18,0.001074819
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,FIDEL ANICETO SANCHEZ MUÑOZ,2,0.000119424
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,JUAN NELSON ARAYA CERDA,0,0
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,LUIS FERNANDO GONZALEZ CASTILLA,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,JOSE MAUREIRA MAUREIRA,5,0.000298561
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,JUAN LOPEZ LEIVA,0,0
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,MIGUEL GONZALEZ ARCOS,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,LUIS ALBERTO CAMPOS VASQUEZ,0,0
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,MARIA MERCEDES TEJO GUZMAN,0,0
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO COMUNISTA DE CHILE,Concertación2,,JUAN ESTEBAN FLORES SOBARZO,0,0
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO DEMOCRATA CRISTIANO,Concertación1,,MARIO ARTURO CACERES QUIROZ,4,0.000238849
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO DEMOCRATA CRISTIANO,Concertación1,,MARIA TERESA MOLINA SANTANA,0,0
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ENRIQUE ALBERTO RUIZ QUINTERO,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO SOCIALISTA DE CHILE,Concertación1,,JUAN SEPULVEDA FUENTES,0,0
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ESTHER DEL CARMEN FUENTES VALLEJOS,0,0
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ROBERTO CARLO SALAZAR SALAZAR,18,0.001074819
PARRAL,PACTO CON LA FUERZA DEL FUTURO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertación4,,JORGE WASHINGTON PINCHEIRA LEIVA,1,5.97122E-05
PARRAL,PACTO CON LA FUERZA DEL FUTURO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertación4,,JUAN YAÑEZ GUERRERO,1,5.97122E-05
PARRAL,PACTO CON LA FUERZA DEL FUTURO,INDEPENDIENTE,Concertación4,1,JUAN CACERES MENDEZ,1,5.97122E-05
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,RENOVACION NACIONAL,Derecha1,,JUAN CARLOS BENAVENTE MEZA,22,0.001313668
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,RENOVACION NACIONAL,Derecha1,,JUAN NAVARRO ORMEÑO,0,0
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,CRISTIAN KLEINSTEIN LOPEZ,0,0
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,PATRICIA LABRA BESSERER,2,0.000119424
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,WALTERIO LOPEZ RUIZ,0,0
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA,Derecha2,,AMELIA DEL CARMEN OLIVEROS JARA,6,0.000358273
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA,Derecha2,,ALVARO MARTINEZ ALFARO,0,0
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,PEDRO ROCA VASQUEZ,0,0
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,TERESA HERNANDEZ MENA,0,0
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,JOSE ANTONIO VALVERDE VALENZUELA,2,0.000119424
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,JOSE LUIS MATTAS SANCHEZ,9,0.00053741
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,CLAUDIO BRAVO ARAYA,21,0.001253956
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,OSCAR LEONARDO MUÑOZ RIFFO,17,0.001015107
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,NOLBERTO VALDES ACUÑA,0,0
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,PABLO CONTRERAS CORTINEZ,13,0.000776258
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,INDEPENDIENTE,Derecha3,,ENRIQUE ALFONSO GOMEZ HOFFER,61,0.003642443
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,IVAN CRUZ APABLAZA MENDEZ,1,5.97122E-05
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,JUAN RAMON VILLEGAS SALDAÑA,13,0.000776258
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,FIDEL ANICETO SANCHEZ MUÑOZ,0,0
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,JUAN NELSON ARAYA CERDA,1,5.97122E-05
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,LUIS FERNANDO GONZALEZ CASTILLA,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,JOSE MAUREIRA MAUREIRA,4,0.000238849
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,JUAN LOPEZ LEIVA,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,MIGUEL GONZALEZ ARCOS,4,0.000238849
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,LUIS ALBERTO CAMPOS VASQUEZ,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,MARIA MERCEDES TEJO GUZMAN,2,0.000119424
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO COMUNISTA DE CHILE,Concertación2,,JUAN ESTEBAN FLORES SOBARZO,0,0
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO DEMOCRATA CRISTIANO,Concertación1,,MARIO ARTURO CACERES QUIROZ,5,0.000298561
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO DEMOCRATA CRISTIANO,Concertación1,,MARIA TERESA MOLINA SANTANA,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ENRIQUE ALBERTO RUIZ QUINTERO,0,0
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO SOCIALISTA DE CHILE,Concertación1,,JUAN SEPULVEDA FUENTES,7,0.000417985
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ESTHER DEL CARMEN FUENTES VALLEJOS,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ROBERTO CARLO SALAZAR SALAZAR,6,0.000358273
PARRAL,PACTO CON LA FUERZA DEL FUTURO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertación4,,JORGE WASHINGTON PINCHEIRA LEIVA,3,0.000179137
PARRAL,PACTO CON LA FUERZA DEL FUTURO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertación4,,JUAN YAÑEZ GUERRERO,1,5.97122E-05
PARRAL,PACTO CON LA FUERZA DEL FUTURO,INDEPENDIENTE,Concertación4,1,JUAN CACERES MENDEZ,4,0.000238849
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,RENOVACION NACIONAL,Derecha1,,JUAN CARLOS BENAVENTE MEZA,20,0.001194244
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,RENOVACION NACIONAL,Derecha1,,JUAN NAVARRO ORMEÑO,2,0.000119424
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,CRISTIAN KLEINSTEIN LOPEZ,1,5.97122E-05
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,PATRICIA LABRA BESSERER,0,0
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,WALTERIO LOPEZ RUIZ,1,5.97122E-05
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA,Derecha2,,AMELIA DEL CARMEN OLIVEROS JARA,1,5.97122E-05
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA,Derecha2,,ALVARO MARTINEZ ALFARO,1,5.97122E-05
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,PEDRO ROCA VASQUEZ,2,0.000119424
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,TERESA HERNANDEZ MENA,2,0.000119424
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,JOSE ANTONIO VALVERDE VALENZUELA,5,0.000298561
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,JOSE LUIS MATTAS SANCHEZ,8,0.000477697
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,CLAUDIO BRAVO ARAYA,13,0.000776258
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,OSCAR LEONARDO MUÑOZ RIFFO,8,0.000477697
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,NOLBERTO VALDES ACUÑA,0,0
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,PABLO CONTRERAS CORTINEZ,3,0.000179137
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,INDEPENDIENTE,Derecha3,,ENRIQUE ALFONSO GOMEZ HOFFER,25,0.001492805
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,IVAN CRUZ APABLAZA MENDEZ,2,0.000119424
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,JUAN RAMON VILLEGAS SALDAÑA,16,0.000955395
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,FIDEL ANICETO SANCHEZ MUÑOZ,0,0
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,JUAN NELSON ARAYA CERDA,0,0
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,LUIS FERNANDO GONZALEZ CASTILLA,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,JOSE MAUREIRA MAUREIRA,6,0.000358273
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,JUAN LOPEZ LEIVA,0,0
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,MIGUEL GONZALEZ ARCOS,2,0.000119424
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,LUIS ALBERTO CAMPOS VASQUEZ,0,0
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,MARIA MERCEDES TEJO GUZMAN,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO COMUNISTA DE CHILE,Concertación2,,JUAN ESTEBAN FLORES SOBARZO,2,0.000119424
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO DEMOCRATA CRISTIANO,Concertación1,,MARIO ARTURO CACERES QUIROZ,7,0.000417985
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO DEMOCRATA CRISTIANO,Concertación1,,MARIA TERESA MOLINA SANTANA,4,0.000238849
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ENRIQUE ALBERTO RUIZ QUINTERO,2,0.000119424
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO SOCIALISTA DE CHILE,Concertación1,,JUAN SEPULVEDA FUENTES,3,0.000179137
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ESTHER DEL CARMEN FUENTES VALLEJOS,0,0
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ROBERTO CARLO SALAZAR SALAZAR,8,0.000477697
PARRAL,PACTO CON LA FUERZA DEL FUTURO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertación4,,JORGE WASHINGTON PINCHEIRA LEIVA,0,0
PARRAL,PACTO CON LA FUERZA DEL FUTURO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertación4,,JUAN YAÑEZ GUERRERO,1,5.97122E-05
PARRAL,PACTO CON LA FUERZA DEL FUTURO,INDEPENDIENTE,Concertación4,1,JUAN CACERES MENDEZ,2,0.000119424
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,RENOVACION NACIONAL,Derecha1,,JUAN CARLOS BENAVENTE MEZA,18,0.001074819
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,RENOVACION NACIONAL,Derecha1,,JUAN NAVARRO ORMEÑO,0,0
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,CRISTIAN KLEINSTEIN LOPEZ,0,0
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,PATRICIA LABRA BESSERER,2,0.000119424
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,WALTERIO LOPEZ RUIZ,0,0
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA,Derecha2,,AMELIA DEL CARMEN OLIVEROS JARA,1,5.97122E-05
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA,Derecha2,,ALVARO MARTINEZ ALFARO,0,0
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,PEDRO ROCA VASQUEZ,4,0.000238849
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,TERESA HERNANDEZ MENA,3,0.000179137
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,JOSE ANTONIO VALVERDE VALENZUELA,6,0.000358273
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,JOSE LUIS MATTAS SANCHEZ,2,0.000119424
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,CLAUDIO BRAVO ARAYA,12,0.000716546
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,OSCAR LEONARDO MUÑOZ RIFFO,6,0.000358273
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,NOLBERTO VALDES ACUÑA,1,5.97122E-05
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,PABLO CONTRERAS CORTINEZ,10,0.000597122
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,INDEPENDIENTE,Derecha3,,ENRIQUE ALFONSO GOMEZ HOFFER,24,0.001433092
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,IVAN CRUZ APABLAZA MENDEZ,3,0.000179137
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,JUAN RAMON VILLEGAS SALDAÑA,15,0.000895683
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,FIDEL ANICETO SANCHEZ MUÑOZ,1,5.97122E-05
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,JUAN NELSON ARAYA CERDA,0,0
PARRAL,PACTO YO MARCO POR EL CAMBIO,INDEPENDIENTE,Concertación3,1,LUIS FERNANDO GONZALEZ CASTILLA,0,0
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,JOSE MAUREIRA MAUREIRA,6,0.000358273
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,JUAN LOPEZ LEIVA,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,MIGUEL GONZALEZ ARCOS,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,LUIS ALBERTO CAMPOS VASQUEZ,2,0.000119424
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO POR LA DEMOCRACIA,Concertación2,,MARIA MERCEDES TEJO GUZMAN,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA POR CHILE,PARTIDO COMUNISTA DE CHILE,Concertación2,,JUAN ESTEBAN FLORES SOBARZO,2,0.000119424
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO DEMOCRATA CRISTIANO,Concertación1,,MARIO ARTURO CACERES QUIROZ,2,0.000119424
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO DEMOCRATA CRISTIANO,Concertación1,,MARIA TERESA MOLINA SANTANA,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ENRIQUE ALBERTO RUIZ QUINTERO,0,0
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO SOCIALISTA DE CHILE,Concertación1,,JUAN SEPULVEDA FUENTES,3,0.000179137
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ESTHER DEL CARMEN FUENTES VALLEJOS,0,0
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ROBERTO CARLO SALAZAR SALAZAR,13,0.000776258
PARRAL,PACTO CON LA FUERZA DEL FUTURO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertación4,,JORGE WASHINGTON PINCHEIRA LEIVA,0,0
PARRAL,PACTO CON LA FUERZA DEL FUTURO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertación4,,JUAN YAÑEZ GUERRERO,1,5.97122E-05
PARRAL,PACTO CON LA FUERZA DEL FUTURO,INDEPENDIENTE,Concertación4,1,JUAN CACERES MENDEZ,2,0.000119424
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,RENOVACION NACIONAL,Derecha1,,JUAN CARLOS BENAVENTE MEZA,10,0.000597122
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,RENOVACION NACIONAL,Derecha1,,JUAN NAVARRO ORMEÑO,1,5.97122E-05
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,CRISTIAN KLEINSTEIN LOPEZ,1,5.97122E-05
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,PATRICIA LABRA BESSERER,2,0.000119424
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,WALTERIO LOPEZ RUIZ,1,5.97122E-05
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA,Derecha2,,AMELIA DEL CARMEN OLIVEROS JARA,2,0.000119424
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA,Derecha2,,ALVARO MARTINEZ ALFARO,0,0
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,PEDRO ROCA VASQUEZ,2,0.000119424
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,TERESA HERNANDEZ MENA,2,0.000119424
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,JOSE ANTONIO VALVERDE VALENZUELA,3,0.000179137
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,JOSE LUIS MATTAS SANCHEZ,4,0.000238849
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,CLAUDIO BRAVO ARAYA,2,0.000119424
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,OSCAR LEONARDO MUÑOZ RIFFO,8,0.000477697
